letter,font,min_x,min_y,max_x,max_y
B,MyriadHebrew-Regular,461,439,546,576
B,MyriadPro-Regular,461,439,546,576
B,Nadeem,460,447,548,591
B,NewPeninimMT,460,428,548,572
B,Noteworthy-Light,442,456,555,631
B,NotoNastaliqUrdu,460,546,548,690
B,NuevaStd-Cond,462,444,535,568
B,OCRAStd,450,422,549,577
B,Optima-Regular,457,455,546,592
B,OratorStd,464,433,540,566
B,OriyaMN,451,460,557,589
B,OriyaSangamMN,447,445,562,604
B,PTMono-Regular,460,447,548,590
B,PTSans-Regular,459,448,547,591
B,PTSerif-Regular,444,460,551,603
B,Palatino-Roman,441,444,551,582
B,Papyrus,436,460,565,599
B,Phosphate-Inline,451,460,554,593
B,PingFangHK-Regular,446,463,559,605
B,PingFangSC-Regular,446,463,559,605
B,PingFangTC-Regular,446,463,559,605
B,PlantagenetCherokee,443,435,556,571
B,PoplarStd,460,427,540,576
B,PrestigeEliteStd-Bd,451,446,548,568
B,Raanana,436,439,551,571
B,RaananaBold,436,436,556,571
B,Roboto-Regular,454,450,551,592
B,Rockwell-Regular,442,420,554,567
B,RosewoodStd-Regular,447,435,563,585
B,STHeitiSC-Medium,459,427,548,573
B,STHeitiTC-Medium,459,427,548,573
B,STIXGeneral-Regular,436,473,551,605
B,STIXIntegralsD-Regular,460,574,548,718
B,STIXIntegralsSm-Regular,460,461,548,605
B,STIXIntegralsUp-Regular,460,461,548,605
B,STIXIntegralsUpD-Regular,460,574,548,718
B,STIXIntegralsUpSm-Regular,460,461,548,605
B,STIXNonUnicode-Regular,460,500,548,644
B,STIXSizeFiveSym-Regular,460,451,548,595
B,STIXSizeFourSym-Regular,460,616,548,760
B,STIXSizeOneSym-Regular,460,514,548,658
B,STIXSizeThreeSym-Regular,460,616,548,760
B,STIXSizeTwoSym-Regular,460,565,548,709
B,STIXVariants-Regular,460,461,548,605
B,STSong,441,447,552,574
B,STSongti-SC-Regular,440,467,552,594
B,Sana,460,430,548,574
B,Sathu,450,439,552,590
B,SavoyeLetPlain,449,436,550,571
B,Seravek,459,459,548,592
B,ShreeDev0714,450,445,558,592
B,SignPainter-HouseScript,456,444,556,573
B,Silom,449,446,549,595
B,SinhalaMN,451,460,557,589
B,SinhalaSangamMN,454,466,552,602
B,Skia-Regular,458,446,551,578
B,SnellRoundhand,430,450,603,597
B,StencilStd,431,425,565,574
B,SukhumvitSet-Medium,454,476,552,610
B,Superclarendon-Regular,424,449,570,597
B,Symbol,460,426,548,570
B,Tahoma,455,455,554,600
B,TamilMN,451,460,557,589
B,TamilSangamMN,454,439,552,575
B,TektonPro-Bold,447,437,556,569
B,TeluguMN,451,460,557,589
B,TeluguSangamMN,451,452,557,598
B,Thonburi,450,457,552,608
B,Times-Roman,436,442,551,574
B,TimesNewRomanPS-BoldMT,437,457,559,589
B,TimesNewRomanPSMT,436,457,555,589
B,TrajanPro-Regular,449,424,552,576
B,Trattatello,455,502,543,617
B,Trebuchet-BoldItalic,446,448,554,595
B,TrebuchetMS,457,449,548,593
B,Verdana,450,455,560,600
B,Waseem,460,445,548,589
