letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x,score
B,Menlo-Regular,1.379310345,1.359633448,-26,-4,73
B,Roboto-Regular,1.408450704,1.392625746,-29,-3,73
B,TrebuchetMS,1.388888889,1.375560028,-29,-4,73
B,AdobeDevanagari-Regular,1.666666667,1.616004432,-16,0.5,74
B,PTMono-Regular,1.398601399,1.412577162,-28,-5.5,74
B,PTSerif-Regular,1.398601399,1.395899657,-43,4,74
B,Tahoma,1.379310345,1.35818516,-36,-7,74
B,AdobeFanHeitiStd-Bold,1.282051282,1.294155249,-15,-4,75
B,AdobeHeitiStd-Regular,1.282051282,1.294155249,-15,-4,75
B,Athelas-Regular,1.526717557,1.482612102,-32,-0.5,75
B,Kefa-Regular,1.492537313,1.46354013,-37,0,75
B,MinionPro-Regular,1.550387597,1.504111734,-9,0.5,75
B,STHeitiSC-Medium,1.369863014,1.347612508,0,-5,75
B,STHeitiTC-Medium,1.369863014,1.347612508,0,-5,75
B,Yantramanav-Regular,1.57480315,1.556239946,-45,-4.5,75
B,HiraMinPro-W3,1.379310345,1.363849566,-11,3,76
B,HiraMinProN-W3,1.379310345,1.363849566,-11,3,76
B,Palatino-Roman,1.449275362,1.408397709,-15,5.5,76
B,Skia-Regular,1.515151515,1.501613838,-17,-7.5,76
B,OCRAStd,1.290322581,1.290004454,0,0.5,77
B,TrajanPro-Regular,1.315789474,1.281950371,3,-1,77
B,AdobeArabic-Regular,2.173913043,2.103309865,-57,0.5,78
B,AdobeHebrew-Regular,1.515151515,1.469420142,-6,2,78
B,AppleGothic,1.282051282,1.267837982,-13,0,78
B,Chalkboard,1.438848921,1.444606263,-43,2,78
B,Noteworthy-Light,1.142857143,1.125474972,-48,2,78
B,BanglaSangamMN,1.470588235,1.450327477,-17,-5,79
B,DevanagariSangamMN,1.470588235,1.450327477,-34,-5,79
B,GillSans,1.470588235,1.437548279,-32,-7.5,79
B,GujaratiSangamMN,1.19760479,1.180331752,-23,-5.5,79
B,GurmukhiSangamMN,1.470588235,1.450327477,-44,-5,79
B,KannadaSangamMN,1.470588235,1.450327477,-41,-5,79
B,KhmerSangamMN,1.449275362,1.428489768,-60,-1.5,79
B,LaoSangamMN,1.470588235,1.450327477,-45,-5,79
B,MalayalamSangamMN,1.470588235,1.450327477,-17,-5,79
B,MyanmarSangamMN,1.470588235,1.450327477,-33,-5,79
B,SinhalaSangamMN,1.470588235,1.450327477,-48,-5,79
B,TamilSangamMN,1.470588235,1.450327477,-9,-5,79
B,TeluguSangamMN,1.369863014,1.349660484,-33,-5.5,79
B,ACaslonPro-Regular,1.398601399,1.358742545,0,5,80
B,BodoniSvtyTwoITCTT-Book,1.449275362,1.402761642,-31,3,80
B,BodoniSvtyTwoOSITCTT-Book,1.449275362,1.402761642,-31,3,80
B,BodoniSvtyTwoSCITCTT-Book,1.449275362,1.402761642,-31,3,80
B,Champagne&Limousines,1.449275362,1.426650747,-18,-3.5,80
B,Georgia,1.449275362,1.419786766,-30,0,80
B,Lucida Bright Regular,1.388888889,1.353377016,-28,6,80
B,LucidaBright,1.388888889,1.353377016,-28,6,80
B,OriyaSangamMN,1.257861635,1.24021996,-30,-5.5,80
B,OratorStd,1.503759398,1.481003851,2,-3.5,81
B,SukhumvitSet-Medium,1.492537313,1.472849679,-62,-4.5,81
B,DINAlternate-Bold,1.408450704,1.40062026,-31,-5.5,82
B,LithosPro-Regular,1.418439716,1.37731798,-1,-6,82
B,Rockwell-Regular,1.360544218,1.328011744,10,2.5,82
B,ChalkboardSE-Regular,1.438848921,1.445019118,-65,3,83
B,ComicSansMS,1.265822785,1.274499992,-46,-6.5,83
B,MicrosoftSansSerif,1.398601399,1.384324744,-27,-4,84
B,STIXGeneral-Regular,1.515151515,1.484381136,-56,8.5,84
B,AdobeGothicStd-Bold,1.282051282,1.289151574,-15,-3.5,85
B,ArialMT,1.398601399,1.384324744,-25,-2.5,85
B,Baskerville,1.503759398,1.465791626,-31,3.5,85
B,Futura-Medium,1.333333333,1.29743116,-34,-4,85
B,HiraMaruPro-W4,1.282051282,1.260407766,-12,-4.5,85
B,HiraMaruProN-W4,1.282051282,1.260407766,-12,-4.5,85
B,Lucida Sans Typewriter Bold,1.388888889,1.364795884,-29,-4.5,85
B,NuevaStd-Cond,1.612903226,1.599716912,-9,2,85
B,PlantagenetCherokee,1.470588235,1.431334656,-1,-0.5,85
B,Verdana,1.379310345,1.35818516,-36,-7.5,85
B,ArialUnicodeMS,1.398601399,1.384324744,-48,-3,86
B,Beirut,1.388888889,1.357285039,-3,-6.5,86
B,DamascusBold,1.388888889,1.357285039,22,-6.5,86
B,DamascusMedium,1.388888889,1.357285039,22,-6.5,86
B,DamascusSemiBold,1.388888889,1.357285039,22,-6.5,86
B,DevanagariMT,1.515151515,1.484788007,-37,9,86
B,GujaratiMT,1.515151515,1.484788007,-34,9,86
B,HoboStd,1.204819277,1.186206022,-1,-2,86
B,HoeflerText-Regular,1.438848921,1.394658692,-2,2,86
B,ITFDevanagari-Book,1.515151515,1.484788007,-55,9,86
B,ITFDevanagariMarathi-Book,1.515151515,1.484788007,-55,9,86
B,Lucida Bright Demibold,1.388888889,1.353740375,-28,3.5,86
B,Lucida Sans Demibold,1.388888889,1.357285039,-29,-6.5,86
B,Mshtakan,1.515151515,1.484788007,-32,9,86
B,MunaBlack,1.388888889,1.357285039,1,-6.5,86
B,MunaBold,1.388888889,1.357285039,1,-6.5,86
B,Raanana,1.515151515,1.484788007,-6,9,86
B,STSong,1.57480315,1.529925851,-14,5.5,86
B,Times-Roman,1.515151515,1.484788007,-11,9,86
B,AdobeMingStd-Light,1.369863014,1.353526288,-19,3,87
B,Krungthep,1.342281879,1.336994856,-34,0.5,87
B,Silom,1.342281879,1.336994856,-28,0.5,87
B,AppleMyungjo,1.388888889,1.360017343,-18,1.5,88
B,CharlemagneStd-Bold,1.398601399,1.305029995,6,3.5,88
